HomeTeam,AwayTeam,Year,HomeGoals,AwayGoals,TotalGoals
Belgium,England,2018,2,0,2
Russia,Saudi Arabia,2018,5,0,5
Germany,Sweden,2018,2,1,3
South Korea,Germany,2018,2,0,2
Mexico,Sweden,2018,0,3,3
Belgium,Panama,2018,3,0,3
Tunisia,England,2018,1,2,3
Belgium,Tunisia,2018,5,2,7
England,Panama,2018,6,1,7
England,Belgium,2018,0,1,1
Panama,Tunisia,2018,1,2,3
Colombia,Japan,2018,1,2,3
Poland,Senegal,2018,1,2,3
Japan,Senegal,2018,2,2,4
Poland,Colombia,2018,0,3,3
South Korea,Mexico,2018,1,2,3
Japan,Poland,2018,0,1,1
France,Argentina,2018,4,3,7
Uruguay,Portugal,2018,2,1,3
Spain,Russia,2018,1,1,2
Croatia,Denmark,2018,1,1,2
Brazil,Mexico,2018,2,0,2
Belgium,Japan,2018,3,2,5
Sweden,Switzerland,2018,1,0,1
Colombia,England,2018,1,1,2
Uruguay,France,2018,0,2,2
Sweden,England,2018,0,2,2
Russia,Croatia,2018,2,2,4
France,Belgium,2018,1,0,1
Croatia,England,2018,2,1,3
Senegal,Colombia,2018,0,1,1
France,Croatia,2018,4,2,6
Sweden,South Korea,2018,1,0,1
Switzerland,Costa Rica,2018,2,2,4
Egypt,Uruguay,2018,0,1,1
Russia,Egypt,2018,3,1,4
Uruguay,Saudi Arabia,2018,1,0,1
Uruguay,Russia,2018,3,0,3
Saudi Arabia,Egypt,2018,2,1,3
Morocco,Iran,2018,0,1,1
Portugal,Spain,2018,3,3,6
Portugal,Morocco,2018,1,0,1
Iran,Spain,2018,0,1,1
Iran,Portugal,2018,1,1,2
Spain,Morocco,2018,2,2,4
France,Australia,2018,2,1,3
Peru,Denmark,2018,0,1,1
Germany,Mexico,2018,0,1,1
Denmark,Australia,2018,1,1,2
Denmark,France,2018,0,0,0
Australia,Peru,2018,0,2,2
Argentina,Iceland,2018,1,1,2
Croatia,Nigeria,2018,2,0,2
Argentina,Croatia,2018,0,3,3
Nigeria,Iceland,2018,2,0,2
Nigeria,Argentina,2018,1,2,3
Iceland,Croatia,2018,1,2,3
Costa Rica,Serbia,2018,0,1,1
Brazil,Switzerland,2018,1,1,2
Brazil,Costa Rica,2018,2,0,2
Serbia,Switzerland,2018,1,2,3
Serbia,Brazil,2018,0,2,2
France,Peru,2018,1,0,1
Brazil,Belgium,2018,1,2,3
Catar,Ecuador,2022,0,2,2
England,Iran,2022,6,2,8
Senegal,Holland,2022,0,2,2
United States,Gales,2022,1,1,2
Argentina,Saudi Arabia,2022,1,2,3
Denmark,Tunisia,2022,0,0,0
Mexico,Poland,2022,0,0,0
France,Australia,2022,4,1,5
Morocco,Croatia,2022,0,0,0
Germany,Japan,2022,1,2,3
Spain,Costa Rica,2022,7,0,7
Belgium,Canada,2022,1,0,1
Switzerland,Cameroon,2022,1,0,1
Uruguay,South Korea,2022,0,0,0
Portugal,Ghana,2022,3,2,5
Brazil,Serbian,2022,1,1,2
Gales,Iran,2022,0,2,2
Taste,Senegal,2022,1,3,4
Holland,Ecuador,2022,1,1,2
England,United States,2022,0,0,0
Tunisia,Australia,2022,0,1,1
Poland,Saudi Arabia,2022,2,0,2
France,Denmark,2022,2,1,3
Argentina,Mexico,2022,2,0,2
Japan,Costa Rica,2022,0,1,1
Belgium,Morocco,2022,0,2,2
Croatia,Canada,2022,4,1,5
Spain,Germany,2022,1,1,2
Cameroon,Serbian,2022,3,3,6
South Korea,Ghana,2022,2,3,5
Brazil,Switzerland,2022,1,0,1
Portugal,Uruguay,2022,2,0,2
Holland,Taste,2022,2,0,2
Ecuador,Senegal,2022,1,2,3
Welsh,England,2022,0,3,3
Iran,United States,2022,0,1,1
Australia,Denmark,2022,1,0,1
Tunisia,France,2022,1,0,1
Saudi Arabia,Mexico,2022,1,2,3
Poland,Argentina,2022,0,2,2
Croatia,Belgium,2022,0,0,0
Canada,Morocco,2022,1,2,3
Japan,Spain,2022,2,1,3
Costa Rica,Germany,2022,2,4,6
Ghana,Uruguay,2022,0,2,2
South Korea,Portugal,2022,2,1,3
Serbian,Switzerland,2022,2,3,5
Cameroon,Brazil,2022,1,0,1
